p1,p2,p3,p4,p5,counts,norm_counts
4652016,1446874.0,3309829.0,,,6,6.929286629941447e-05
4378803,1446874.0,3309829.0,,,6,6.929286629941447e-05
4794118,3309829.0,,,,6,6.929286629941447e-05
4838295,,,,,6,6.929286629941447e-05
4659406,3131342.0,3309829.0,,,6,6.929286629941447e-05
1887862,1446874.0,3309829.0,,,6,6.929286629941447e-05
4804703,1446874.0,3309829.0,,,6,6.929286629941447e-05
2732549,,,,,6,6.929286629941447e-05
4864997,,,,,6,6.929286629941447e-05
4539711,3309829.0,,,,6,6.929286629941447e-05
4002936,1446874.0,3309829.0,,,6,6.929286629941447e-05
3426208,3309829.0,,,,6,6.929286629941447e-05
1566764,3309829.0,,,,6,6.929286629941447e-05
1719558,3309829.0,,,,6,6.929286629941447e-05
4897588,3309829.0,,,,6,6.929286629941447e-05
2659227,2383299.0,1446874.0,3309829.0,,6,6.929286629941447e-05
3550662,1446874.0,3309829.0,,,6,6.929286629941447e-05
4017554,3309829.0,,,,6,6.929286629941447e-05
3995672,1446874.0,3309829.0,,,6,6.929286629941447e-05
4800021,1446874.0,3309829.0,,,6,6.929286629941447e-05
1393124,3309829.0,,,,6,6.929286629941447e-05
4667706,1446874.0,3309829.0,,,6,6.929286629941447e-05
4626692,3309829.0,,,,5,5.7744055249512066e-05
2697992,3309829.0,,,,5,5.7744055249512066e-05
4794660,3309829.0,,,,5,5.7744055249512066e-05
3323263,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1783480,4658276.0,3309829.0,,,5,5.7744055249512066e-05
4432426,3131342.0,3309829.0,,,5,5.7744055249512066e-05
4663909,3309829.0,,,,5,5.7744055249512066e-05
2165194,3309829.0,,,,5,5.7744055249512066e-05
3861899,3309829.0,,,,5,5.7744055249512066e-05
4026376,,,,,5,5.7744055249512066e-05
4661154,,,,,5,5.7744055249512066e-05
4660497,3309829.0,,,,5,5.7744055249512066e-05
4868853,4676793.0,,,,5,5.7744055249512066e-05
4806035,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1820829,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1713731,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4797278,3309829.0,,,,5,5.7744055249512066e-05
4630339,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4842808,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2513718,1446874.0,3309829.0,,,5,5.7744055249512066e-05
3500097,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4919744,3309829.0,,,,5,5.7744055249512066e-05
3151751,1446874.0,3309829.0,,,5,5.7744055249512066e-05
405896,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1184511,1446874.0,3309829.0,,,5,5.7744055249512066e-05
409192,3309829.0,,,,5,5.7744055249512066e-05
1790898,3309829.0,,,,5,5.7744055249512066e-05
4920730,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4749842,2431715.0,3309829.0,,,5,5.7744055249512066e-05
1609771,3921495.0,,,,5,5.7744055249512066e-05
3076713,,,,,5,5.7744055249512066e-05
4930850,3309829.0,,,,5,5.7744055249512066e-05
112116,3309829.0,,,,5,5.7744055249512066e-05
4423184,4943740.0,,,,5,5.7744055249512066e-05
2327106,3309829.0,,,,5,5.7744055249512066e-05
4808255,1446874.0,3309828.0,,,5,5.7744055249512066e-05
913062,1446874.0,3309829.0,,,5,5.7744055249512066e-05
3174774,4887621.0,3309829.0,,,5,5.7744055249512066e-05
3985092,3309829.0,,,,5,5.7744055249512066e-05
3868873,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4813407,3309829.0,,,,5,5.7744055249512066e-05
4920842,3309829.0,,,,5,5.7744055249512066e-05
1874018,4643336.0,,,,5,5.7744055249512066e-05
2300187,4879743.0,,,,5,5.7744055249512066e-05
3077142,1446874.0,3309829.0,,,5,5.7744055249512066e-05
35565,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4661614,3309829.0,,,,5,5.7744055249512066e-05
4477141,3309829.0,,,,5,5.7744055249512066e-05
263877,3309829.0,,,,5,5.7744055249512066e-05
4876830,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4368509,3309829.0,,,,5,5.7744055249512066e-05
4810103,3309829.0,,,,5,5.7744055249512066e-05
1755117,3309829.0,,,,5,5.7744055249512066e-05
4668246,3309829.0,,,,5,5.7744055249512066e-05
3075613,1446874.0,3309829.0,,,5,5.7744055249512066e-05
358262,,,,,5,5.7744055249512066e-05
1312834,4751949.0,3309829.0,,,5,5.7744055249512066e-05
2255459,3607105.0,3309829.0,,,5,5.7744055249512066e-05
4664705,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2625803,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2709389,3309829.0,,,,5,5.7744055249512066e-05
4813889,3309829.0,,,,5,5.7744055249512066e-05
4919852,3309829.0,,,,5,5.7744055249512066e-05
4686172,3131342.0,3309829.0,,,5,5.7744055249512066e-05
3666766,4634630.0,3309829.0,,,5,5.7744055249512066e-05
3168293,3491733.0,3309829.0,,,5,5.7744055249512066e-05
4664295,3309829.0,,,,5,5.7744055249512066e-05
1696749,3309829.0,,,,5,5.7744055249512066e-05
4626495,1446874.0,3309829.0,,,5,5.7744055249512066e-05
3429989,3309829.0,,,,5,5.7744055249512066e-05
1910318,3309829.0,,,,5,5.7744055249512066e-05
4877871,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4807503,3309829.0,,,,5,5.7744055249512066e-05
2111543,1446874.0,3309829.0,,,5,5.7744055249512066e-05
3062561,,,,,5,5.7744055249512066e-05
4818262,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1054713,3309829.0,,,,5,5.7744055249512066e-05
1673805,3309829.0,,,,5,5.7744055249512066e-05
4801423,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4860620,4808255.0,1446874.0,3309829.0,,5,5.7744055249512066e-05
4809940,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4906213,3309829.0,,,,5,5.7744055249512066e-05
4866097,1446874.0,3309829.0,,,5,5.7744055249512066e-05
1570919,3309829.0,,,,5,5.7744055249512066e-05
1552105,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2181913,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4653698,3309829.0,,,,5,5.7744055249512066e-05
1791039,3309829.0,,,,5,5.7744055249512066e-05
2637365,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2559591,1446874.0,3309829.0,,,5,5.7744055249512066e-05
3309829,3309829.0,,,,5,5.7744055249512066e-05
4497909,4808255.0,1446874.0,3309829.0,,5,5.7744055249512066e-05
4931035,2366992.0,,,,5,5.7744055249512066e-05
4498561,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4900038,3309829.0,,,,5,5.7744055249512066e-05
2007020,3309829.0,,,,5,5.7744055249512066e-05
2162933,3309829.0,,,,5,5.7744055249512066e-05
4915362,1446874.0,3309829.0,,,5,5.7744055249512066e-05
345436,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4629587,4676793.0,,,,5,5.7744055249512066e-05
1776669,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4137591,3607105.0,3309829.0,,,5,5.7744055249512066e-05
1066318,3962243.0,1446874.0,3309829.0,,5,5.7744055249512066e-05
2764714,3309829.0,,,,5,5.7744055249512066e-05
3738272,3309829.0,,,,5,5.7744055249512066e-05
1259509,3309829.0,,,,5,5.7744055249512066e-05
2986178,,,,,5,5.7744055249512066e-05
57664,3131342.0,3309829.0,,,5,5.7744055249512066e-05
3254105,1446874.0,3309829.0,,,5,5.7744055249512066e-05
4668535,2795668.0,3309829.0,,,5,5.7744055249512066e-05
4870597,1775744.0,3309829.0,,,5,5.7744055249512066e-05
4221721,3309829.0,,,,5,5.7744055249512066e-05
2252794,1446874.0,3309829.0,,,5,5.7744055249512066e-05
2211426,3309829.0,,,,5,5.7744055249512066e-05
4755647,4598278.0,,,,5,5.7744055249512066e-05
4932792,1773558.0,3309829.0,,,5,5.7744055249512066e-05
4633889,,,,,5,5.7744055249512066e-05
2620120,4808255.0,1446874.0,3309829.0,,5,5.7744055249512066e-05
4659948,3309829.0,,,,4,4.619524419960965e-05
4204640,3309829.0,,,,4,4.619524419960965e-05
4314381,4726291.0,2965733.0,4905342.0,4803422.0,4,4.619524419960965e-05
1283485,1429517.0,3309829.0,,,4,4.619524419960965e-05
567705,1446874.0,3309829.0,,,4,4.619524419960965e-05
4898092,1446874.0,3309829.0,,,4,4.619524419960965e-05
1711028,3607105.0,3309829.0,,,4,4.619524419960965e-05
392495,3309829.0,,,,4,4.619524419960965e-05
4630795,1446874.0,3309829.0,,,4,4.619524419960965e-05
4925006,3131342.0,3309829.0,,,4,4.619524419960965e-05
1568264,3309829.0,,,,4,4.619524419960965e-05
4919223,3942920.0,3309829.0,,,4,4.619524419960965e-05
4813512,1446874.0,3309829.0,,,4,4.619524419960965e-05
4793275,,,,,4,4.619524419960965e-05
541472,1446874.0,3309829.0,,,4,4.619524419960965e-05
2103037,3309829.0,,,,4,4.619524419960965e-05
518143,3309829.0,,,,4,4.619524419960965e-05
4652048,1446874.0,3309829.0,,,4,4.619524419960965e-05
4286345,1446874.0,3309829.0,,,4,4.619524419960965e-05
2475853,3309829.0,,,,4,4.619524419960965e-05
4731870,2326417.0,1446874.0,3309829.0,,4,4.619524419960965e-05
4802479,3309829.0,,,,4,4.619524419960965e-05
4663029,3309829.0,,,,4,4.619524419960965e-05
22626,3309829.0,,,,4,4.619524419960965e-05
4630143,1446874.0,3309829.0,,,4,4.619524419960965e-05
2429776,1446874.0,3309829.0,,,4,4.619524419960965e-05
3285097,4929981.0,1446874.0,3309829.0,,4,4.619524419960965e-05
4626991,3309829.0,,,,4,4.619524419960965e-05
4461827,3309829.0,,,,4,4.619524419960965e-05
4801141,3309829.0,,,,4,4.619524419960965e-05
397931,3309829.0,,,,4,4.619524419960965e-05
517478,3309829.0,,,,4,4.619524419960965e-05
4897588,1446874.0,3309829.0,,,4,4.619524419960965e-05
1653635,3491733.0,3309829.0,,,4,4.619524419960965e-05
2036928,3491733.0,3309829.0,,,4,4.619524419960965e-05
4931304,3309829.0,,,,4,4.619524419960965e-05
3678345,3309829.0,,,,4,4.619524419960965e-05
806262,1446874.0,3309829.0,,,4,4.619524419960965e-05
2298965,3309829.0,,,,4,4.619524419960965e-05
3740627,1446874.0,3309829.0,,,4,4.619524419960965e-05
921649,3309829.0,,,,4,4.619524419960965e-05
2705546,3309829.0,,,,4,4.619524419960965e-05
45919,,,,,4,4.619524419960965e-05
2154021,4808255.0,1446874.0,3309829.0,,4,4.619524419960965e-05
519173,1446874.0,3309829.0,,,4,4.619524419960965e-05
3610864,3309829.0,,,,4,4.619524419960965e-05
3991299,1446874.0,3309829.0,,,4,4.619524419960965e-05
1572654,,,,,4,4.619524419960965e-05
4634662,,,,,4,4.619524419960965e-05
306966,3309829.0,,,,4,4.619524419960965e-05
4652802,1446874.0,3309829.0,,,4,4.619524419960965e-05
4810673,1446874.0,3309829.0,,,4,4.619524419960965e-05
2703047,1446874.0,3309829.0,,,4,4.619524419960965e-05
